('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_070655.999_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073635.416_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073724.246_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073725.271_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073727.508_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073731.144_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073733.776_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073737.418_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073744.618_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073746.049_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073751.191_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073752.732_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073757.781_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073810.175_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073822.884_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073824.705_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073849.581_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073855.952_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073926.517_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_073943.081_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074008.299_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074100.987_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074125.153_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074129.608_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074158.536_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074329.911_face.jpg', u'female', u'Paul')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074335.276_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074343.353_face.jpg', u'female', u'Gopi')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074357.589_face.jpg', u'male', u'Gopi')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074401.949_face.jpg', u'female', u'Paul')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074408.133_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074426.012_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074432.888_face.jpg', u'male', u'Gopi')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074433.546_face.jpg', u'male', u'Gopi')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074435.087_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074446.717_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074450.348_face.jpg', u'male', u'Gopi')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074501.883_face.jpg', u'female', u'Paul')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074505.621_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074523.191_face.jpg', u'female', u'Paul')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074528.445_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074723.762_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074732.125_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074739.410_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074935.881_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074939.532_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074942.086_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074946.521_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_074949.276_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075007.291_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075014.059_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075022.151_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075031.056_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075037.227_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075044.916_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075247.088_face.jpg', u'female', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075257.162_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075340.882_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075346.879_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075352.990_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075355.624_face.jpg', u'male', u'George')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075409.576_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075413.360_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075417.791_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075424.345_face.jpg', u'male', u'Unknown')
('./data/facerecog/bocacafe/20180201/10.38.5.145_ch0_20180201_075430.851_face.jpg', u'male', u'Unknown')
