('./data/facerecog/temp/05/10.38.5.145_ch0_20180126_051333.014_face.jpg', u'female', u'Enrique')
('./data/facerecog/temp/06/10.38.5.145_ch0_20180126_060202.586_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_070606.588_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_070638.951_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074241.263_face.jpg', u'female', u'Richard')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074305.558_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074502.976_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074512.894_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074519.560_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074524.296_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074608.685_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074613.360_face.jpg', u'female', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074614.885_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074627.507_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074640.517_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074643.551_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074644.565_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074646.697_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074647.317_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074651.285_face.jpg', u'male', u'Fred')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074652.691_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074654.418_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074659.386_face.jpg', u'male', u'Fred')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074710.464_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074716.707_face.jpg', u'male', u'Briana')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074722.280_face.jpg', u'male', u'Richard')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074725.643_face.jpg', u'male', u'Briana')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074726.759_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074731.411_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074742.225_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074826.558_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074833.436_face.jpg', u'female', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_074836.182_face.jpg', u'male', u'Paul')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075302.028_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075345.203_face.jpg', u'male', u'Richard')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075350.578_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075406.126_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075408.983_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075412.012_face.jpg', u'male', u'David')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075415.287_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075416.104_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075417.933_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075421.100_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075421.897_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075423.454_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075428.596_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075430.328_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075431.567_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075435.726_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075436.535_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075436.901_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075439.996_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075441.038_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075444.905_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075447.932_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075451.360_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075453.770_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075454.698_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075458.958_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075459.972_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075501.299_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075508.601_face.jpg', u'male', u'Fred')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075509.125_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075510.136_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075510.867_face.jpg', u'male', u'Albert')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075517.254_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075517.862_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075525.210_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075527.237_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075534.002_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075542.004_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075543.244_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075548.002_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075550.737_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075551.466_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075555.729_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075602.322_face.jpg', u'male', u'Guillermo')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075607.310_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075609.137_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075617.103_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075619.150_face.jpg', u'male', u'Richard')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075622.024_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075625.314_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075633.313_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075853.335_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075910.438_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075915.472_face.jpg', u'male', u'Unknown')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075946.686_face.jpg', u'male', u'Lev')
('./data/facerecog/temp/07/10.38.5.145_ch0_20180126_075953.661_face.jpg', u'male', u'Albert')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080000.690_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080040.620_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080051.323_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080054.207_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080057.136_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080102.098_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080105.737_face.jpg', u'female', u'Unknown')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080108.870_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080110.133_face.jpg', u'male', u'Gopi')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080113.607_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080115.154_face.jpg', u'male', u'Enrique')
('./data/facerecog/temp/08/10.38.5.145_ch0_20180126_080117.186_face.jpg', u'male', u'Richard')
